sample_name	accession	food_group
agadagidi	SRR27593211	agadagidi
agadagidi	SRR27593169	agadagidi
agousha	ERR4757834	agousha
amazake	ERR4757821	amazake
attieke	SRR27593158	attieke
beer	SRR5890763	beer
beer ginger	ERR4757812	beer
beer ginger	ERR4757859	beer
boza	ERR4757807	boza
brukina	SRR27593220	brukina
burukutu	SRR27593219	burukutu
burukutu	SRR27593175	burukutu
burukutu	SRR27593209	burukutu
carrot sticks	ERR4757857	carrot sticks
cheese	SRR25394846	cheese
cheese	SRR25394863	cheese
cheese	SRR17227787	cheese
cheese	SRR25395139	cheese
cheese	SRR25395116	cheese
cheese	SRR17227800	cheese
cheese	SRR17227788	cheese
cheese	SRR17227786	cheese
cheese	SRR17227801	cheese
cheese	ERR7245779	cheese
cheese araxa	SRR13496620	cheese
cheese araxa	SRR13496631	cheese
cheese araxa	SRR13496632	cheese
cheese brine	SRR25395290	cheese brine
cheese brine	SRR25395271	cheese brine
cheese brine	SRR25395225	cheese brine
cheese brine	SRR25395371	cheese brine
cheese brine	SRR25395274	cheese brine
cheese brine	SRR25395514	cheese brine
cheese brine	SRR25394931	cheese brine
cheese brine	SRR25395482	cheese brine
cheese brine	SRR25395267	cheese brine
cheese brine	SRR25395492	cheese brine
cheese canastra	SRR13496623	cheese
cheese canastra	SRR13496634	cheese
cheese russian	ERR4757835	cheese
cheese ruz'a	ERR4757836	cheese
cheese serro	SRR13496628	cheese
cheese serro	SRR13496629	cheese
cheese wagashi	SRR27593223	cheese
cheese wara	SRR27593237	cheese
cheese wara	SRR27593206	cheese
cheese wara	SRR27593177	cheese
chilli sauce	SRR7262867	chili sauce
chilli sauce	SRR7262868	chili sauce
chilli sauce	SRR7262871	chili sauce
chilli sauce	SRR7262878	chili sauce
chilli sauce	SRR7262880	chili sauce
chilli sauce	SRR7262872	chili sauce
chocolate	SRR11602156	chocolate
chocolate	SRR11602157	chocolate
chocolate	SRR11602153	chocolate
chocolate	SRR9640348	chocolate
chocolate	SRR11602147	chocolate
chocolate	SRR11602149	chocolate
chocolate	SRR11602155	chocolate
chocolate	SRR11602154	chocolate
chocolate	SRR11602139	chocolate
chocolate	SRR11602148	chocolate
coffee	ERR2231571	coffee
coffee	ERR2231568	coffee
coffee	ERR2231570	coffee
coffee	ERR2231569	coffee
coffee	ERR2231572	coffee
coffee	ERR2231567	coffee
dawadawa	SRR27593226	dawadawa
dolo	SRR27593164	dolo
dukkah sauerkraut	ERR4757848	sauerkraut
emu	SRR27593210	emu
fufu	SRR27593152	fufu
fufu	SRR27593171	fufu
fufu	SRR27593197	fufu
fufu	SRR27593218	fufu
fura	SRR27593199	fura
gari	SRR27593156	gari
gari	SRR27593229	gari
gari	SRR27593204	gari
gari	SRR27593193	gari
gari	SRR27593173	gari
garlic fermented	ERR4757847	garlic fermented
ginger fermented	ERR4757849	garlic fermented
grep-chhurpi	SRR22859380	grep-chhurpi
hongeo	SRR10664429	hongeo
hongeo	SRR10664432	hongeo
hongeo	SRR10664431	hongeo
hongeo	SRR10664430	hongeo
hongeo	SRR10664433	hongeo
injera	SRR14018897	injera
injera	SRR14018896	injera
iru	SRR27593180	iru
iru	SRR27593191	iru
iru	SRR27593200	iru
iru	SRR27593157	iru
iru	SRR27593195	iru
iru	SRR27593196	iru
jalebi	SRR22851058	jalebi
jalebi	SRR22851057	jalebi
kantong	SRR27593225	kantong
keem	SRR15925267	keem
kefir	SRR13801804	kefir
kefir	SRR13801805	kefir
kefir	SRR19505782	kefir
kefir	ERR11865366	kefir
kefir	ERR4757840	kefir
kefir	ERR4757815	kefir
kefir	ERR11865495	kefir
kefir	ERR11865451	kefir
kefir	ERR11865472	kefir
kefir	ERR11865303	kefir
kimchi	ERR4757827	kimchi
kimchi	ERR4757845	kimchi
kimchi	ERR4757860	kimchi
kimchi	ERR4757846	kimchi
kimchi	ERR4757806	kimchi
kinema	SRR8830669	kinema
kinema	SRR8830668	kinema
kinema	SRR8830666	kinema
kinema	SRR8830667	kinema
koko	SRR27593184	koko
koumiss	SRR13308533	koumiss
koumiss	SRR13308525	koumiss
koumiss	SRR13308522	koumiss
koumiss	SRR13308534	koumiss
koumiss	SRR13308532	koumiss
koumiss	SRR13308542	koumiss
koumiss	SRR13308527	koumiss
koumiss	SRR13308528	koumiss
koumiss	SRR13308523	koumiss
koumiss	SRR13308521	koumiss
kunu	SRR27593155	kunu
kunu	SRR27593231	kunu
kunu	SRR27593207	kunu
kunu	SRR27593216	kunu
kunu	SRR27593178	kunu
kunu	SRR27593182	kunu
kvass	ERR4757855	kvass
kvass	ERR4757805	kvass
kvass	ERR4757822	kvass
laban	ERR3964980	laban
lafun	SRR27593235	lafun
lafun	SRR27593194	lafun
lafun	SRR27593172	lafun
massa	SRR27593163	massa
miso	SRR25203524	miso
miso	SRR25203523	miso
miso	SRR25203509	miso
miso	SRR25203516	miso
miso	SRR25203535	miso
miso	SRR25203513	miso
miso	SRR25203514	miso
