genome_name	accession	kingdom
Acetobacter pasteurianus IFO 3283-01	GCF_000010825.1	bacteria
"Bacillus coagulans GBI-30, 6086"	GCF_000756285.1	bacteria
Bacillus subtilis subsp. natto BEST195	GCF_000209795.2	bacteria
Bifidobacterium animalis subsp. lactis BB-12	GCF_000220885.1	bacteria
Bifidobacterium animalis subsp. Lactis BI-04	GCA_002914895.1	bacteria
Bifidobacterium bifidum PRL2010	GCF_000165905.1	bacteria
Bifidobacterium breve M-16V	GCA_036281515.1	bacteria
Bifidobacterium breve UCC2003	GCA_000220135.1	bacteria
Bifidobacterium infantis ATCC 15697	GCF_000020425.1	bacteria
Bifidobacterium longum subsp. longum NCC2705	GCF_000007525.1	bacteria
Lacticaseibacillus casei ATCC 334	GCF_000014525.1	bacteria
Lacticaseibacillus paracasei subsp. paracasei	GCA_000155515.2	bacteria
Lactiplantibacillus plantarum ATCC 202195	GCF_018351295.1	bacteria
Lactobacillus acidophilus NCFM	GCF_000011985.1	bacteria
Lactobacillus brevis ATCC 367	GCF_000014465.1	bacteria
Lactobacillus casei ATCC 393	GCF_000829055.1	bacteria
Lactobacillus crispatus ST1	GCF_000091765.1	bacteria
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	GCF_000056065.1	bacteria
Lactobacillus fermentum IFO 3956	GCF_000010145.1	bacteria
Lactobacillus gasseri ATCC 33323	GCA_000014425.1	bacteria
Lactobacillus helveticus DPC 4571	GCF_000015385.1	bacteria
Lactobacillus kefiranofaciens ZW3	GCF_000214785.1	bacteria
Lactobacillus kefiri KCTC 3547	GCF_009739535.1	bacteria
Lactobacillus reuteri F275	GCF_000016825.1	bacteria
Lactobacillus rhamnosus GG (LGG)	GCF_000026505.1	bacteria
Lactobacillus rhamnosus LR32	GCA_001044095.1	bacteria
Lactobacillus salivarius	GCA_035231985.1	bacteria
Lactococcus lactis subsp. cremoris SK11	GCF_000014545.1	bacteria
Lactococcus lactis subsp. lactis IL1403	GCF_000006865.1	bacteria
Leuconostoc citreum KM20	GCF_000026405.1	bacteria
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	GCF_000014445.1	bacteria
Streptococcus thermophilus LMD-9	GCF_000014485.1	bacteria
Bacteroides xylanisolvens 	GCF_018289135.1	bacteria
Pediococcus pentosaceus ATCC 25745	GCF_000014505.1	bacteria
Saccharomyces boulardii	GCA_026225675.1	fungi
Streptococcus salivarius K12	GCA_000286295.1	bacteria
Saccharomyces cerevisiae	GCF_000146045.2	fungi
Lactobacillus johnsonii	GCA_014058685.1	bacteria
Aspergillus oryzae	GCA_000184455.3	fungi
Aspergillus niger	GCA_000002855.2	fungi
Rhizopus arrhizus	GCA_048164915.1	fungi
Monascus purpureus	GCA_025999795.1	fungi
Sanghuangporus sanghuang	GCA_048932755.1	fungi
Pleurotus ostreatus	GCA_014466165.1	fungi
Penicillium roqueforti 	GCA_015533775.1	fungi
