sample_name	accession
attieke	SRR27593158
attieke	SRR27593158
beer	SRR5890763
burukutu	SRR27593219
burukutu	SRR27593219
burukutu	SRR27593219
cheese	SRR25395086
cheese	SRR25395026
cheese	SRR25395142
chinese_liquor	DRR205702
chinese_liquor	DRR205703
chinese_liquor	DRR205702
chocolate	SRR28523270
dolo	SRR27593164
gari	SRR27593156
gari	SRR27593156
gari	SRR27593156
hongeo	SRR10664432
hongeo	SRR10664430
hongeo	SRR10664432
injera	SRR14018896
injera	SRR14018897
kantong	SRR27593225
kantong	SRR27593225
kantong	SRR27593225
kefir	ERR11865366
kefir	ERR11865366
kefir	ERR11865366
kinema	SRR8830668
kinema	SRR8830669
kinema	SRR8830668
massa	SRR27593163
massa	SRR27593163
mou	SRR27593160
mou	SRR27593160
mou	SRR27593160
nono	SRR27593215
nono	SRR27593215
obiolor	SRR27593176
obiolor	SRR27593176
obiolor	SRR27593176
palm_wine	SRR27593192
pito	SRR27593217
pito	SRR27593234
pito	SRR27593222
probiotics	SRR11605271
probiotics	SRR11605263
probiotics	SRR11605262
salami	SRR28523138
salami	SRR28523318
salami	SRR28523321
sausage	SRR25393915
sausage	SRR25394006
sausage	SRR25394014
sekete	SRR27593174
sekete	SRR27593174
sekete	SRR27593174
sourdough	SRR10454485
sourdough	SRR10454490
sourdough	SRR10454485
tea	ERR4757838
tea	SRR6680342
tea	SRR6685440
tempeh	SRR11036331
tempeh	SRR11036331
tempeh	SRR11036331
ugba	SRR27593188
ugba	SRR27593188
ugba	SRR27593188
ugi	SRR27593165
water_kefir	SRR26215957
water_kefir	ERR4757830
water_kefir	SRR26215964
whey	SRR25395489
whey	SRR25395344
whey	SRR25395286
yogurt	SRR11605266
yogurt	SRR11605273
yogurt	SRR11605274
zonkom	SRR27593224
