run_accession	study_accession	study_title	experiment_accession	experiment_title	library_strategy	library_selection	library_layout	instrument_model	instrument_model_desc	run_total_bases	food_name	sample_name	origin	ingredient_group	main_ingredient	food_type
ERR11718190	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119065	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	2818879596	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718191	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119066	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	1005564734	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718192	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119067	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	3880608592	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718194	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119069	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	3769420110	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718195	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119070	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	2073769530	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718196	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119071	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	3778103204	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718197	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119072	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	3737335282	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718198	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119073	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	2041765022	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718199	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119074	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	1591518712	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718200	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119075	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	3471598068	cheese	cheese	Animal	Dairy	milk	cheese
ERR11718201	ERP149479	Decarboxylase activity of Loigolactobacillus rennini gives crack defects in Gouda cheese	ERX11119076	Illumina NovaSeq 6000 paired end sequencing	WGS	RANDOM	PAIRED	Illumina NovaSeq 6000	ILLUMINA	1158233476	cheese	cheese	Animal	Dairy	milk	cheese
