accession_name	food_name	genome_accession	species	Sequence_abundance	Adjusted_ANI	Eff_cov	completeness	contamination	contigs	taxonomy
ERR11865303	kefir	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	3.5652	99.85	1.432	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR11865451	kefir	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	1.6028	99.43	0.645	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
ERR11865451	kefir	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	0.3814	99.55	0.156	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR2102261	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	3.3986	100	43	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2126384	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	0.0791	99.69	0.599	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2133080	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	0.4202	99.86	3.617	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2135449	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	0.3363	99.8	3.311	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2135457	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	0.5868	99.86	3.868	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2135518	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	1.1716	99.99	10.864	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2135519	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	33.8378	100	364	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2231567	coffee	SternesPR_2017__Y2D1_A_shotgun__bin.3	Hanseniaspora uvarum	31.0652	99.83	25	79.9	0	389	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ERR2231567	coffee	DuR_2020__DRS139334__bin.19	Pichia kluyveri	15.8985	99.32	9.656	76.7	0	3007	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231567	coffee	LeechJ_2020__ERS3967694__bin.3	Starmerella bacillaris	4.1779	98.76	3.179	70.1	0.6	731	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;Starmerella
ERR2231567	coffee	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	0.1156	99.76	0.077	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231567	coffee	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.0397	98.09	0.038	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
ERR2231568	coffee	SternesPR_2017__Y2D1_A_shotgun__bin.3	Hanseniaspora uvarum	24.8438	99.83	23	79.9	0	389	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ERR2231568	coffee	DuR_2020__DRS139334__bin.19	Pichia kluyveri	19.2348	99.42	13.44	76.7	0	3007	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231568	coffee	LeechJ_2020__ERS3967694__bin.3	Starmerella bacillaris	4.9538	98.89	4.336	70.1	0.6	731	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;Starmerella
ERR2231568	coffee	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.1168	95.28	0.129	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
ERR2231568	coffee	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	0.1121	99.43	0.085	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231569	coffee	SternesPR_2017__Y2D1_A_shotgun__bin.3	Hanseniaspora uvarum	25.7474	99.84	27	79.9	0	389	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ERR2231569	coffee	DuR_2020__DRS139334__bin.19	Pichia kluyveri	14.4995	99.38	11.476	76.7	0	3007	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231569	coffee	LeechJ_2020__ERS3967694__bin.3	Starmerella bacillaris	3.52	98.82	3.49	70.1	0.6	731	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;Starmerella
ERR2231569	coffee	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	0.0866	99.92	0.075	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231569	coffee	MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin.1	Zygotorulaspora florentina	0.0222	96.89	0.019	99.1	0.1	368	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygotorulaspora
ERR2231570	coffee	SternesPR_2017__Y2D1_A_shotgun__bin.3	Hanseniaspora uvarum	16.0626	99.83	21	79.9	0	389	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ERR2231570	coffee	DuR_2020__DRS139334__bin.19	Pichia kluyveri	11.6342	99.42	11.48	76.7	0	3007	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231570	coffee	LeechJ_2020__ERS3967694__bin.3	Starmerella bacillaris	2.4823	98.73	3.068	70.1	0.6	731	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;Starmerella
ERR2231570	coffee	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.0572	95.37	0.089	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
ERR2231570	coffee	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	0.0571	99.61	0.061	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231571	coffee	SternesPR_2017__Y2D1_A_shotgun__bin.3	Hanseniaspora uvarum	10.3721	99.82	18	79.9	0	389	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ERR2231571	coffee	DuR_2020__DRS139334__bin.19	Pichia kluyveri	8.9389	99.41	11.708	76.7	0	3007	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231571	coffee	LeechJ_2020__ERS3967694__bin.3	Starmerella bacillaris	2.2113	98.83	3.628	70.1	0.6	731	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;Starmerella
ERR2231571	coffee	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	0.0638	98.16	0.091	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231572	coffee	SternesPR_2017__Y2D1_A_shotgun__bin.3	Hanseniaspora uvarum	7.5728	99.79	10.637	79.9	0	389	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ERR2231572	coffee	DuR_2020__DRS139334__bin.19	Pichia kluyveri	6.5441	99.25	6.937	76.7	0	3007	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231572	coffee	LeechJ_2020__ERS3967694__bin.3	Starmerella bacillaris	2.3918	98.76	3.176	70.1	0.6	731	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;Starmerella
ERR2231572	coffee	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	0.0542	98.91	0.063	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231572	coffee	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.0273	95.72	0.046	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
ERR2401479	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	0.8658	100	10.487	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2401482	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	1.0646	100	11.974	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2437614	tea fermented	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	0.2508	99.96	1.987	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR4757805	kvass	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	8.1663	99.8	2.253	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR4757805	kvass	MortensenS_xxxx__WK007-2-L-48h-01I1_S52__bin.1	Zygotorulaspora florentina	3.4223	99.88	1.051	99.1	0.1	368	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygotorulaspora
