Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR11865303_trimmed_1.fastq.gz	GCF_000014545.1.fna	66.6596	70.0193	98.40	132.000	NA-NA	HIGH	NA-NA	132	132.641	6354/10467	98.40	629	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
ERR11865303_trimmed_1.fastq.gz	GCF_000214785.1.fna	16.1599	15.3787	99.63	32.000	NA-NA	HIGH	NA-NA	32	32.733	8601/9636	99.63	34	NC_015602.1 Lactobacillus kefiranofaciens subsp. kefiranofaciens, complete sequence
ERR11865303_trimmed_1.fastq.gz	GCF_000015385.1.fna	14.1399	11.8949	98.33	28.000	NA-NA	HIGH	NA-NA	28	28.772	4599/7756	98.33	567	NC_010080.1 Lactobacillus helveticus DPC 4571, complete sequence
ERR11865303_trimmed_1.fastq.gz	GCF_000014445.1.fna	2.0140	1.6900	98.68	3.988	NA-NA	HIGH	NA-NA	4	3.988	5873/8862	98.68	1	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
ERR11865303_trimmed_1.fastq.gz	GCF_009739535.1.fna	0.7060	0.7104	99.83	1.398	99.75-99.90	1.398	1.34-1.46	2	1.879	7441/10398	98.93	0	NZ_CP029971.1 Lentilactobacillus kefiri strain DH5 chromosome, complete genome
ERR11865303_trimmed_1.fastq.gz	GCF_000006865.1.fna	0.3206	0.3066	99.33	0.635	99.12-99.53	0.635	0.58-0.68	1	1.199	4327/9757	97.41	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR11865366_trimmed_1.fastq.gz	GCF_000006865.1.fna	69.7724	70.0858	99.64	119.000	NA-NA	HIGH	NA-NA	119	118.035	8735/9757	99.64	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR11865366_trimmed_1.fastq.gz	GCF_000014545.1.fna	17.0033	18.7603	98.68	29.000	NA-NA	HIGH	NA-NA	29	26.336	6937/10467	98.68	687	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
ERR11865366_trimmed_1.fastq.gz	GCF_000016825.1.fna	10.5538	8.9611	97.56	18.000	NA-NA	HIGH	NA-NA	18	17.121	3741/8055	97.56	1	NC_009513.1 Limosilactobacillus reuteri subsp. reuteri, complete sequence
ERR11865366_trimmed_1.fastq.gz	GCA_014058685.1.fna	1.7469	1.4475	98.19	2.979	NA-NA	HIGH	NA-NA	3	2.979	4554/8025	98.19	1	CP059055.1 Lactobacillus johnsonii strain NCK2677 chromosome, complete genome
ERR11865366_trimmed_1.fastq.gz	GCF_000056065.1.fna	0.7487	0.5929	96.51	1.277	96.32-96.69	1.277	1.16-1.41	2	1.815	1796/7436	95.52	7	NC_008054.1 Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002, complete sequence
ERR11865366_trimmed_1.fastq.gz	GCF_000091765.1.fna	0.1237	0.1073	96.90	0.211	96.08-97.54	0.211	0.17-0.27	2	1.829	841/8614	92.77	37	NC_014106.1 Lactobacillus crispatus ST1, complete sequence
ERR11865366_trimmed_1.fastq.gz	GCA_035231985.1.fna	0.0512	0.0450	97.13	0.087	95.67-98.68	0.087	0.05-0.14	1	1.306	297/8468	89.76	4	CP117983.1 Ligilactobacillus salivarius strain B4311 chromosome, complete genome
ERR11865451_trimmed_1.fastq.gz	GCF_000014545.1.fna	50.4711	54.9460	98.98	99.000	NA-NA	HIGH	NA-NA	99	95.169	7625/10467	98.98	3	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
ERR11865451_trimmed_1.fastq.gz	GCF_000015385.1.fna	37.7259	32.8922	98.31	74.000	NA-NA	HIGH	NA-NA	74	75.953	4567/7756	98.31	530	NC_010080.1 Lactobacillus helveticus DPC 4571, complete sequence
ERR11865451_trimmed_1.fastq.gz	GCF_000014445.1.fna	8.1569	7.0942	98.42	16.000	NA-NA	HIGH	NA-NA	16	16.660	5417/8862	98.42	1	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
ERR11865451_trimmed_1.fastq.gz	GCF_009739535.1.fna	1.6565	1.7275	99.74	3.249	NA-NA	HIGH	NA-NA	3	3.249	9578/10398	99.74	0	NZ_CP029971.1 Lentilactobacillus kefiri strain DH5 chromosome, complete genome
ERR11865451_trimmed_1.fastq.gz	GCF_000006865.1.fna	0.8930	0.8851	98.98	1.752	98.88-99.05	1.752	1.65-1.86	2	2.331	6039/9757	98.46	687	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR11865451_trimmed_1.fastq.gz	GCF_000214785.1.fna	0.7623	0.7518	99.24	1.495	99.16-99.31	1.495	1.43-1.58	2	1.906	6153/9636	98.56	34	NC_015602.1 Lactobacillus kefiranofaciens subsp. kefiranofaciens, complete sequence
ERR11865451_trimmed_1.fastq.gz	GCF_000146045.2.fna	0.3344	1.7033	99.34	0.656	99.25-99.41	0.656	0.64-0.67	1	1.382	19392/49417	97.03	0	NC_001133.9 Saccharomyces cerevisiae S288C chromosome I, complete sequence
ERR11865472_trimmed_1.fastq.gz	GCF_000006865.1.fna	42.3256	46.3957	99.42	91.000	NA-NA	HIGH	NA-NA	91	92.252	8157/9757	99.42	13	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR11865472_trimmed_1.fastq.gz	GCF_000015385.1.fna	37.6744	36.3279	98.63	81.000	NA-NA	HIGH	NA-NA	81	83.070	5054/7756	98.63	16	NC_010080.1 Lactobacillus helveticus DPC 4571, complete sequence
ERR11865472_trimmed_1.fastq.gz	GCF_000014485.1.fna	20.0000	17.2764	99.68	43.000	NA-NA	HIGH	NA-NA	43	42.300	6891/7600	99.68	0	NC_008532.1 Streptococcus thermophilus LMD-9, complete sequence
ERR11865495_trimmed_1.fastq.gz	GCF_000006865.1.fna	70.8263	73.3549	99.45	171.000	NA-NA	HIGH	NA-NA	171	172.955	8222/9757	99.45	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR11865495_trimmed_1.fastq.gz	GCF_000015385.1.fna	21.1236	19.2452	98.34	51.000	NA-NA	HIGH	NA-NA	51	53.921	4619/7756	98.34	471	NC_010080.1 Lactobacillus helveticus DPC 4571, complete sequence
ERR11865495_trimmed_1.fastq.gz	GCF_000014445.1.fna	7.4554	6.7755	99.21	18.000	NA-NA	HIGH	NA-NA	18	17.664	6930/8862	99.21	1	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
ERR11865495_trimmed_1.fastq.gz	GCF_009739535.1.fna	0.3707	0.4040	99.83	0.895	99.72-99.95	0.895	0.85-0.94	1	1.517	5848/10398	98.16	0	NZ_CP029971.1 Lentilactobacillus kefiri strain DH5 chromosome, complete genome
ERR11865495_trimmed_1.fastq.gz	GCF_000214785.1.fna	0.1756	0.1810	99.44	0.424	99.27-99.68	0.424	0.38-0.45	1	1.065	3274/9636	96.58	31	NC_015602.1 Lactobacillus kefiranofaciens subsp. kefiranofaciens, complete sequence
ERR11865495_trimmed_1.fastq.gz	GCF_000014485.1.fna	0.0483	0.0394	97.36	0.117	96.10-98.56	0.117	0.07-0.18	1	1.016	383/7600	90.81	18	NC_008532.1 Streptococcus thermophilus LMD-9, complete sequence
ERR1981166_trimmed_1.fastq.gz	GCF_000006865.1.fna	67.1585	65.1362	96.61	1.743	96.50-96.73	1.743	1.62-1.85	2	2.283	2773/9757	96.02	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR1981166_trimmed_1.fastq.gz	GCF_018351295.1.fna	13.5629	18.6492	98.18	0.352	97.89-98.45	0.352	0.32-0.39	1	1.182	2462/14497	94.44	9	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
ERR1981166_trimmed_1.fastq.gz	GCF_000014505.1.fna	10.2466	7.6980	98.63	0.266	98.15-99.08	0.266	0.22-0.31	1	1.160	1210/7865	94.14	0	NC_008525.1 Pediococcus pentosaceus ATCC 25745, complete sequence
ERR1981166_trimmed_1.fastq.gz	GCA_000286295.1.fna	5.7242	5.6945	96.48	0.149	95.60-97.82	0.149	0.09-0.19	1	1.369	488/9656	90.82	11	ALIF01000007.1 Streptococcus salivarius K12 plasmid pRSSL1, complete sequence, whole genome shotgun sequence
ERR1981166_trimmed_1.fastq.gz	GCF_000015385.1.fna	3.3078	2.8222	97.14	0.086	95.54-99.02	0.086	0.05-0.14	1	1.242	265/7756	89.68	7	NC_010080.1 Lactobacillus helveticus DPC 4571, complete sequence
ERR1981167_trimmed_1.fastq.gz	GCF_000010145.1.fna	100.0000	100.0000	98.67	0.203	98.16-99.11	0.203	0.18-0.24	1	1.104	1015/8356	93.43	0	NC_010610.1 Limosilactobacillus fermentum IFO 3956, complete sequence
ERR2014805_trimmed_1.fastq.gz	GCF_000006865.1.fna	67.1585	65.1362	96.61	1.743	96.50-96.73	1.743	1.62-1.85	2	2.283	2773/9757	96.02	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR2014805_trimmed_1.fastq.gz	GCF_018351295.1.fna	13.5629	18.6492	98.18	0.352	97.89-98.45	0.352	0.32-0.39	1	1.182	2462/14497	94.44	9	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
ERR2014805_trimmed_1.fastq.gz	GCF_000014505.1.fna	10.2466	7.6980	98.63	0.266	98.15-99.08	0.266	0.22-0.31	1	1.160	1210/7865	94.14	0	NC_008525.1 Pediococcus pentosaceus ATCC 25745, complete sequence
ERR2014805_trimmed_1.fastq.gz	GCA_000286295.1.fna	5.7242	5.6945	96.48	0.149	95.60-97.82	0.149	0.09-0.19	1	1.369	488/9656	90.82	11	ALIF01000007.1 Streptococcus salivarius K12 plasmid pRSSL1, complete sequence, whole genome shotgun sequence
ERR2014805_trimmed_1.fastq.gz	GCF_000015385.1.fna	3.3078	2.8222	97.14	0.086	95.54-99.02	0.086	0.05-0.14	1	1.242	265/7756	89.68	7	NC_010080.1 Lactobacillus helveticus DPC 4571, complete sequence
ERR2014806_trimmed_1.fastq.gz	GCF_000010145.1.fna	100.0000	100.0000	98.67	0.203	98.16-99.11	0.203	0.18-0.24	1	1.104	1015/8356	93.43	0	NC_010610.1 Limosilactobacillus fermentum IFO 3956, complete sequence
ERR2014807_trimmed_1.fastq.gz	GCF_000010145.1.fna	86.2199	87.5635	98.81	0.687	98.63-99.01	0.687	0.63-0.74	1	1.428	2865/8356	96.61	0	NC_010610.1 Limosilactobacillus fermentum IFO 3956, complete sequence
ERR2014807_trimmed_1.fastq.gz	GCF_000056065.1.fna	13.7801	12.4365	98.12	0.110	96.95-99.17	0.110	0.07-0.16	1	1.079	429/7436	91.21	4	NC_008054.1 Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002, complete sequence
ERR2014810_trimmed_1.fastq.gz	GCF_000006865.1.fna	90.6880	87.2926	96.73	52.000	NA-NA	HIGH	NA-NA	52	52.078	3485/9757	96.73	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
