Species/Strain,Typical Use / Role,GenBank Accession,NCBI nuccore Link
Lactobacillus acidophilus NCFM,"Yogurts, fermented milks, supplements",NC_006814.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_006814.1
Lactobacillus rhamnosus GG (LGG),"Yogurt, dairy products, functional foods",NC_013198.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_013198.1
Lacticaseibacillus paracasei subsp. paracasei,"Fermented milks, cheese, probiotic drinks",NC_037110.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_037110.1
Lacticaseibacillus casei ATCC 334,Fermented milk drinks (close relative to “Shirota”),NC_008526.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_008526.1
Lactiplantibacillus plantarum WCFS1,"Fermented vegetables, sourdough, beverages",NC_004567.2,https://www.ncbi.nlm.nih.gov/nuccore/NC_004567.2
Lactobacillus reuteri F275,"Probiotic yogurts, infant formulas, supplements",NC_009513.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009513.1
Lactobacillus fermentum IFO 3956,"Fermented cereals, sourdough",NC_010610.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_010610.1
Lactobacillus helveticus DPC 4571,"Cheese production (Swiss types), certain yogurts",NC_010080.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_010080.1
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842,Yogurt starter (w/ Streptococcus thermophilus),NC_008054.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_008054.1
Lactobacillus brevis ATCC 367,"Fermented vegetables, pickles, some beers",NC_008497.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_008497.1
Lactobacillus crispatus ST1,Occasionally in fermented foods; studied for urogenital health,NC_014106.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_014106.1
Bifidobacterium animalis subsp. lactis BB-12,"Yogurts, cultured dairy, infant formulas",NC_017215.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_017215.1
Bifidobacterium breve UCC2003,"Infant formulas, some dairy probiotic foods",NC_020517.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_020517.1
Bifidobacterium longum subsp. longum NCC2705,"Probiotic yogurts, supplements, infant formulas",NC_004307.2,https://www.ncbi.nlm.nih.gov/nuccore/NC_004307.2
Bifidobacterium infantis ATCC 15697,Prevalent in gut of breastfed infants,NC_004579.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_004579.1
Bifidobacterium bifidum PRL2010,"Dairy products, probiotic formulations",NC_014638.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_014638.1
Lactococcus lactis subsp. lactis IL1403,"Major dairy starter for cheese, etc.",NC_002662.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_002662.1
Lactococcus lactis subsp. cremoris SK11,Flavor development in various cheeses,NC_008527.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_008527.1
Streptococcus thermophilus LMD-9,Yogurt co-starter with L. delbrueckii subsp. bulgaricus,NC_008532.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_008532.1
"Bacillus coagulans GBI-30, 6086",Spore-forming probiotic in shelf-stable products,NZ_CP017674.1,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP017674.1
Enterococcus faecium DO,Occasional use in fermented foods; more controversial as probiotic,NC_017312.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_017312.1
Lactobacillus kefiranofaciens ZW3,Kefir grains: produces kefiran exopolysaccharide,CP003677.1,https://www.ncbi.nlm.nih.gov/nuccore/CP003677.1
Lactobacillus kefiri KCTC 3547,"Kefir grains: lactic acid production, flavor",CP032154.1,https://www.ncbi.nlm.nih.gov/nuccore/CP032154.1
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,Kefir grains: produces CO₂ & diacetyl (aroma/flavor),NC_008531.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_008531.1
Acetobacter pasteurianus IFO 3283-01,Kefir grains: acetic acid production (vinegary note),NC_013209.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_013209.1
