Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757835_trimmed_1.fastq.gz	GCF_000014485.1.fna	95.5306	94.7579	99.88	300.000	NA-NA	HIGH	NA-NA	300	273.533	7315/7600	99.88	0	NC_008532.1 Streptococcus thermophilus LMD-9, complete sequence
ERR4757835_trimmed_1.fastq.gz	GCF_000007525.1.fna	2.3548	2.8321	99.14	7.395	NA-NA	HIGH	NA-NA	7	7.395	7339/9595	99.14	0	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence
ERR4757835_trimmed_1.fastq.gz	GCA_014058685.1.fna	1.2606	1.3089	97.97	3.959	NA-NA	HIGH	NA-NA	4	3.959	4252/8025	97.97	3	CP059055.1 Lactobacillus johnsonii strain NCK2677 chromosome, complete genome
ERR4757835_trimmed_1.fastq.gz	GCF_000006865.1.fna	0.4453	0.5605	99.61	1.398	99.52-99.68	1.398	1.34-1.47	2	1.921	6519/9757	98.71	12	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
ERR4757835_trimmed_1.fastq.gz	GCF_000056065.1.fna	0.1713	0.1700	99.20	0.538	98.98-99.42	0.538	0.50-0.58	1	1.317	2417/7436	96.44	11	NC_008054.1 Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002, complete sequence
ERR4757835_trimmed_1.fastq.gz	GCF_000014545.1.fna	0.0847	0.1170	97.78	0.266	97.29-98.32	0.266	0.22-0.31	1	1.461	1229/10467	93.32	558	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
ERR4757835_trimmed_1.fastq.gz	GCA_000014425.1.fna	0.0659	0.0664	97.06	0.207	96.26-97.79	0.207	0.15-0.27	1	1.238	564/7578	91.96	250	CP000413.1 Lactobacillus gasseri ATCC 33323, complete genome
ERR4757835_trimmed_1.fastq.gz	GCF_018289135.1.fna	0.0364	0.1271	95.76	0.114	94.90-96.56	0.114	0.09-0.15	1	1.076	765/27084	89.13	0	NZ_CP072216.1 Bacteroides xylanisolvens strain CL11T00C03 chromosome, complete genome
ERR4757835_trimmed_1.fastq.gz	GCF_000014465.1.fna	0.0311	0.0388	95.72	0.098	94.23-97.17	0.098	0.06-0.16	1	1.091	242/10002	88.69	0	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence
ERR4757835_trimmed_1.fastq.gz	GCF_000014445.1.fna	0.0193	0.0213	97.55	0.061	95.46-99.71	0.061	0.03-0.11	1	1.028	250/8862	89.13	7	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
