Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757849_trimmed_1.fastq.gz	LiZ_2019__SRS3379157__bin.3.fa	11.0708	15.1928	99.53	8.642	NA-NA	HIGH	NA-NA	8	8.642	17860/20657	99.53	185	SRS3379157_k141_320
ERR4757849_trimmed_1.fastq.gz	MAG_426.fa	9.7456	14.2367	97.26	7.607	NA-NA	HIGH	NA-NA	7	7.607	9277/21985	97.26	3110	MAG_426_0
ERR4757849_trimmed_1.fastq.gz	FontanaF_2023__SRR20746869__bin.1.fa	8.8801	7.7701	98.78	6.932	NA-NA	HIGH	NA-NA	6	6.932	8854/12958	98.78	1990	NODE_117_length_29172_cov_5.0000_ID_19762
ERR4757849_trimmed_1.fastq.gz	EBC_031.14.fa	8.7372	10.9677	96.85	6.820	NA-NA	HIGH	NA-NA	7	6.820	6942/18737	96.85	775	EBC_031.14_EBC_031_scaffold_135
ERR4757849_trimmed_1.fastq.gz	LeechJ_2020__ERS3967734__bin.8.fa	6.9393	5.5521	99.98	5.417	NA-NA	HIGH	NA-NA	5	5.417	12048/12139	99.98	13	ERS3967734_k141_36
ERR4757849_trimmed_1.fastq.gz	LeechJ_2020__ERS3967740__bin.7.fa	6.6941	7.6334	99.95	5.225	NA-NA	HIGH	NA-NA	5	5.225	16822/17069	99.95	1	ERS3967740_k141_420
ERR4757849_trimmed_1.fastq.gz	MAG_331.fa	5.0555	2.9849	97.43	3.946	NA-NA	HIGH	NA-NA	3	3.946	3915/8780	97.43	114	MAG_331_0
ERR4757849_trimmed_1.fastq.gz	LeechJ_2020__ERS3967703__bin.6.fa	4.5134	2.3782	99.83	3.523	NA-NA	HIGH	NA-NA	3	3.523	7500/7915	99.83	2	ERS3967703_k141_852
ERR4757849_trimmed_1.fastq.gz	LeechJ_2020__ERS3967734__bin.7.fa	4.5134	1.5394	99.96	3.523	NA-NA	HIGH	NA-NA	3	3.523	5037/5096	99.96	4	ERS3967734_k141_248
ERR4757849_trimmed_1.fastq.gz	LeechJ_2020__ERS3967706__bin.3.fa	3.9138	2.4746	99.77	3.055	NA-NA	HIGH	NA-NA	3	3.055	8854/9505	99.77	14	ERS3967706_k141_98
ERR4757849_trimmed_1.fastq.gz	DeFilippisF_xxxx__DF_96__bin.15.fa	2.6718	1.9353	97.95	2.086	97.87-98.04	2.086	1.94-2.20	2	2.397	4967/10778	97.53	26	DF_96_k141_700
ERR4757849_trimmed_1.fastq.gz	YouL_2022__SRR13308526__bin.24.fa	2.3923	3.1605	99.14	1.867	99.09-99.19	1.867	1.79-1.94	2	2.799	12824/19793	98.61	1602	NODE_37_length_141872_cov_18.1171_ID_20191
ERR4757849_trimmed_1.fastq.gz	LeechJ_2020__ERS3967740__bin.11.fa	1.9735	1.4800	100.00	1.541	99.93-100.05	1.541	1.48-1.60	2	2.052	8768/11163	99.22	0	ERS3967740_k141_286
ERR4757849_trimmed_1.fastq.gz	MAG_501.fa	1.9024	1.2582	98.99	1.485	98.89-99.06	1.485	1.42-1.57	2	2.162	5481/9710	98.17	2	MAG_501_0
