Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name	sample_name
SRR27593163_trimmed_1.fastq.gz	GCF_000010145.1.fna	53.6292	54.0357	99.05	18.0	NA-NA	HIGH	NA-NA	18	17.624	6216/8356	99.05	0	NC_010610.1 Limosilactobacillus fermentum IFO 3956, complete sequence	SRR27593163
SRR27593163_trimmed_1.fastq.gz	GCF_000016825.1.fna	41.7732	40.1031	98.7	14.021	NA-NA	HIGH	NA-NA	14	14.021	5363/8055	98.7	5	NC_009513.1 Limosilactobacillus reuteri subsp. reuteri, complete sequence	SRR27593163
SRR27593163_trimmed_1.fastq.gz	GCF_000006865.1.fna	2.6784	3.0419	98.7	0.899	98.56-98.85	0.899	0.83-0.95	1	1.81	3857/9757	97.05	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence	SRR27593163
SRR27593163_trimmed_1.fastq.gz	GCF_000056065.1.fna	0.2087	0.1869	98.73	0.07	97.23-100.43	0.070	0.04-0.11	1	1.209	340/7436	90.53	6	NC_008054.1 Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002, complete sequence	SRR27593163
SRR11036331_trimmed_1.fastq.gz	GCF_000010145.1.fna	76.3303	75.5301	99.58	22.0	NA-NA	HIGH	NA-NA	22	20.541	7330/8356	99.58	0	NC_010610.1 Limosilactobacillus fermentum IFO 3956, complete sequence	SRR11036331
SRR11036331_trimmed_1.fastq.gz	GCF_000006865.1.fna	15.4914	17.2785	99.01	4.465	NA-NA	HIGH	NA-NA	4	4.465	7175/9757	99.01	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence	SRR11036331
SRR11036331_trimmed_1.fastq.gz	GCF_000056065.1.fna	8.1783	7.1914	98.17	2.357	98.12-98.40	2.357	1.82-2.45	2	2.74	3798/7436	97.86	14	NC_008054.1 Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002, complete sequence	SRR11036331
SRR11605266_trimmed_1.fastq.gz	GCF_000014485.1.fna	99.0939	98.8785	99.97	333.0	NA-NA	HIGH	NA-NA	333	413.889	7534/7600	99.97	0	NC_008532.1 Streptococcus thermophilus LMD-9, complete sequence	SRR11605266
SRR11605266_trimmed_1.fastq.gz	GCF_000006865.1.fna	0.5471	0.6928	99.77	1.839	99.72-99.84	1.839	1.75-1.92	2	2.759	7651/9757	99.22	14	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence	SRR11605266
SRR11605266_trimmed_1.fastq.gz	GCF_000056065.1.fna	0.1868	0.1864	98.51	0.628	98.24-98.77	0.628	0.57-0.70	1	1.762	2182/7436	96.12	11	NC_008054.1 Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002, complete sequence	SRR11605266
SRR25395142_trimmed_1.fastq.gz	GCF_000006865.1.fna	61.6671	56.9772	99.95	1878.0	NA-NA	HIGH	NA-NA	1878	1923.781	9607/9757	99.95	14	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence	SRR25395142
SRR25395142_trimmed_1.fastq.gz	GCF_000014545.1.fna	22.8214	23.1605	99.44	695.0	NA-NA	HIGH	NA-NA	695	854.327	8793/10467	99.44	709	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence	SRR25395142
SRR25395142_trimmed_1.fastq.gz	GCA_000203855.3.fna	14.7436	19.2832	98.88	449.0	NA-NA	HIGH	NA-NA	449	436.607	10121/14358	98.88	16	AL935263.2 Lactobacillus plantarum WCFS1 complete genome	SRR25395142
SRR25395142_trimmed_1.fastq.gz	GCF_000014485.1.fna	0.6896	0.5021	100.0	21.0	NA-NA	HIGH	NA-NA	21	20.606	7592/7600	100.0	0	NC_008532.1 Streptococcus thermophilus LMD-9, complete sequence	SRR25395142
SRR25395142_trimmed_1.fastq.gz	GCF_009739535.1.fna	0.0259	0.0252	99.87	0.789	99.74-100.00	0.789	0.74-0.83	1	1.659	5475/10398	97.95	2	NZ_CP029971.1 Lentilactobacillus kefiri strain DH5 chromosome, complete genome	SRR25395142
SRR25395142_trimmed_1.fastq.gz	GCF_000014525.1.fna	0.0223	0.0255	99.22	0.679	99.05-99.37	0.679	0.64-0.73	1	1.438	4630/11907	97.0	22	NC_008526.1 Lacticaseibacillus paracasei ATCC 334, complete sequence	SRR25395142
SRR25395142_trimmed_1.fastq.gz	GCF_000014465.1.fna	0.0187	0.0171	98.72	0.568	98.52-98.93	0.568	0.52-0.60	1	1.325	2918/10002	96.1	17	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence	SRR25395142
