Species/Strain,Updated_Taxonomic_Name,Typical Use / Role,Accession,Contigs,Notes,Used in CPG Products,Used in Kid Products,GRAS Approval,Considered or Marketed as Probiotic,GRAS link,Commercial Product
Acetobacter pasteurianus IFO 3283-01,Acetobacter pasteurianus IFO 3283-01,Kefir grains: acetic acid production (vinegary note),GCF_000010825.1,7,,No,No,No ,No,No,No
"Bacillus coagulans GBI-30, 6086",Heyndrickxia coagulans strain GBI-30,Spore-forming probiotic in shelf-stable products,GCF_000756285.1,224,This is classified as Heyndrickxia coagulans,Yes,Yes,Yes,Yes,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=GRASNotices&id=240&sort=GRN_No&order=DESC&startrow=1&type=basic&search=bacillus%20coagulans,"Antimicrobial agent, CFUs in probiotics etc."
Bacillus subtilis subsp. natto BEST195,Bacillus subtilis subsp. natto BEST195,"Natto, supplements for CFU counts, food, infant formula",GCF_000209795.2,2,,Yes,Yes,Yes,Yes,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=GRASNotices&id=831&sort=GRN_No&order=DESC&startrow=1&type=basic&search=bacillus%20subtilis,
Bifidobacterium animalis subsp. lactis BB-12,Bifidobacterium animalis subsp. lactis CNCM I-2494,"Yogurts, cultured dairy, infant formulas, kids supplements",GCF_000220885.1,1,Also referred to as just bifidobacterium lactis,Yes,Yes,Yes,Yes,https://www.fda.gov/media/134330/download,"Several - foods, supplements"
Bifidobacterium bifidum PRL2010,Bifidobacterium bifidum PRL2010,"Dairy products, probiotic formulations, kids supplements",GCF_000165905.1,1,,Yes,Yes,Not this exact strain,Yes,,
Bifidobacterium breve M-16V,Bifidobacterium breve M-16V,"Dairy products, kids supplement, infant formula",GCA_036281515.1,244,"This record is suppressed in RefSeq, the type strain is https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001025175.1/ ",Yes,Yes,Yes,Yes,https://wayback.archive-it.org/7993/20171031043455/https://www.fda.gov/downloads/Food/IngredientsPackagingLabeling/GRAS/NoticeInventory/UCM346879.pdf,
Bifidobacterium infantis ATCC 15697,Bifidobacterium infantis ATCC 15697,"Prevalent in gut of breastfed infants, unflavored milk, supplements",GCF_000020425.1,1,,Yes,Yes,Not this exact strain,Yes,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=GRASNotices&id=1081,"Milk, kids supplements"
Bifidobacterium longum subsp. longum NCC2705,Bifidobacterium longum subsp. longum NCC2705,"Probiotic yogurts, supplements, infant formulas",GCF_000007525.1,2,,Yes,Yes,Not this exact strain,Yes,,
Lacticaseibacillus casei ATCC 334,Lacticaseibacillus paracasei ATCC 334,Fermented milk drinks (close relative to “Shirota”),GCF_000014525.1,2,Referred to as Lacticaseibacillus paracasei ATCC 334,Yes,Yes,Not this exact strain,Yes,,
Lacticaseibacillus paracasei subsp. paracasei,Lacticaseibacillus paracasei subsp. paracasei,"Fermented milks, cheese, probiotic drinks",GCA_000155515.2,3,New name for Lactobacillus paracasei ,Yes,Yes,Not this exact strain,Yes,,
Lactiplantibacillus plantarum ATCC 202195,Lactiplantibacillus plantarum ATCC 202195,"Fermented vegetables, sourdough, beverages, infant formula, kids supplements",GCF_018351295.1,3,,Yes,Yes,Yes,Yes,https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=GRASNotices&id=1127&sort=GRN_No&order=DESC&startrow=1&type=basic&search=Lactiplantibacillus%20plantarum,"Danisco, infant formula"
