Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR27593212_trimmed_1.fastq.gz	MAG_501.fa	56.1767	54.5249	99.46	25.000	NA-NA	HIGH	NA-NA	25	24.208	8212/9710	99.46	10	MAG_501_0
SRR27593212_trimmed_1.fastq.gz	GCF_004771075.1_ASM477107v1_genomic.fa	21.1880	19.9207	99.56	9.429	NA-NA	HIGH	NA-NA	9	9.429	8081/9278	99.56	0	GCF_004771075.1_ASM477107v1_genomic_NZ_CP027563.1 Weissella confusa strain VTT E-133279 chromosome, complete genome
SRR27593212_trimmed_1.fastq.gz	FontanaF_2023__SRR20746839__bin.4.fa	10.2114	7.3209	99.19	4.544	NA-NA	HIGH	NA-NA	4	4.544	5699/7322	99.19	2	NODE_2_length_148631_cov_25.9785_ID_15265
SRR27593212_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	2.0052	2.6464	99.48	0.892	99.38-99.59	0.892	0.84-0.93	1	1.608	6825/13589	97.80	1	NODE_1_length_274429_cov_22.9992_ID_7781
SRR27593212_trimmed_1.fastq.gz	LeechJ_xxxx__AF89__bin.7.fa	1.9751	3.3612	97.06	0.879	96.93-97.16	0.879	0.84-0.94	1	1.628	3982/17149	95.40	213	AF89_k141_40
SRR27593212_trimmed_1.fastq.gz	MAG_19.fa	1.2936	2.8770	99.04	0.576	98.92-99.16	0.576	0.55-0.60	1	1.413	7425/22889	96.43	0	MAG_19_0
SRR27593212_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859379__bin.8.fa	0.8415	0.5673	99.29	0.374	99.01-99.61	0.374	0.33-0.41	1	1.199	1710/6826	95.63	0	NODE_3_length_161229_cov_37.0000_ID_62026
SRR27593212_trimmed_1.fastq.gz	EBC_134.7.fa	0.7281	1.7908	95.50	0.324	95.21-95.74	0.324	0.29-0.36	1	1.289	1681/25164	91.64	3343	EBC_134.7_EBC_134_scaffold_2638
SRR27593212_trimmed_1.fastq.gz	MAG_6.fa	0.6280	1.0065	96.63	0.279	96.35-96.96	0.279	0.25-0.31	1	1.225	1354/16058	92.33	2747	MAG_6_0
SRR27593212_trimmed_1.fastq.gz	WalshAM_2017__ERS1739834__bin.1.fa	0.6020	0.4345	99.49	0.268	99.10-99.90	0.268	0.23-0.30	1	1.158	1516/7489	94.98	0	ERS1739834_k141_1514
SRR27593212_trimmed_1.fastq.gz	GCF_006740305.1_ASM674030v1_genomic.fa	0.5504	0.4459	98.56	0.245	98.10-99.06	0.245	0.20-0.29	1	1.202	1093/7797	93.86	5	GCF_006740305.1_ASM674030v1_genomic_NZ_AP019750.1 Lactobacillus delbrueckii subsp. delbrueckii strain NBRC 3202 chromosome, complete genome
SRR27593212_trimmed_1.fastq.gz	MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5.fa	0.4715	0.3402	99.39	0.210	98.88-99.87	0.210	0.18-0.25	1	1.108	1156/7379	94.20	0	WK028-2-L-48h-03A1_S20_k141_3165
SRR27593212_trimmed_1.fastq.gz	LeechJ_xxxx__AF49__bin.4.fa	0.4501	0.3053	98.28	0.200	97.60-99.01	0.200	0.16-0.25	1	1.297	731/6870	93.03	52	AF49_k141_27
SRR27593212_trimmed_1.fastq.gz	LeechJ_xxxx__AF68__bin.3.fa	0.4086	0.4644	96.94	0.182	96.21-97.57	0.182	0.15-0.23	1	1.305	748/11625	91.53	66	AF68_k141_2037
SRR27593212_trimmed_1.fastq.gz	GCF_025211165.1_ASM2521116v1_genomic.fa	0.3894	0.2928	97.88	0.173	97.17-98.71	0.173	0.13-0.21	1	1.171	654/7680	92.36	10	GCF_025211165.1_ASM2521116v1_genomic_NZ_RIVC01000068.1 Periweissella beninensis strain 716 NODE_103_length_292_cov_243.839035, whole genome shotgun sequence
SRR27593212_trimmed_1.fastq.gz	MASTER_WP4_CSIC_2__P2597__bin.1.fa	0.2888	1.2869	99.47	0.129	99.23-99.72	0.129	0.12-0.14	1	1.077	4614/45159	92.91	2	P2597_k141_298
SRR27593212_trimmed_1.fastq.gz	GCF_019655995.1_ASM1965599v1_genomic.fa	0.2659	0.1980	95.27	0.118	93.70-96.91	0.118	0.07-0.20	1	1.182	198/7647	88.88	37	GCF_019655995.1_ASM1965599v1_genomic_NZ_BPKV01000001.1 Leuconostoc holzapfelii strain JCM 16942 contig1, whole genome shotgun sequence
SRR27593212_trimmed_1.fastq.gz	EBC_134.5.fa	0.2523	0.6653	97.63	0.112	96.88-98.20	0.112	0.09-0.14	1	1.068	1328/26324	90.81	0	EBC_134.5_EBC_134_scaffold_561
SRR27593212_trimmed_1.fastq.gz	LeechJ_xxxx__AF53__bin.10.fa	0.2382	0.2462	97.37	0.106	96.16-98.31	0.106	0.07-0.15	1	1.061	461/10440	90.43	27	AF53_k141_67
SRR27593212_trimmed_1.fastq.gz	LeechJ_2020__ERS3967691__bin.13.fa	0.2270	0.1877	98.04	0.101	96.81-99.16	0.101	0.07-0.14	1	1.202	440/8251	90.98	198	ERS3967691_k141_96
SRR27593212_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_286__bin.4.fa	0.1888	0.1916	97.39	0.084	95.91-99.21	0.084	0.04-0.14	1	1.040	372/10478	89.79	0	NODE_10_length_98713_cov_16.0000_ID_19272
SRR27593212_trimmed_1.fastq.gz	G_514_1B_orientalis_assembly.fa	0.1620	0.2131	98.30	0.072	97.14-99.40	0.072	0.05-0.11	1	1.035	549/13382	90.21	0	NODE_1_length_900359_cov_75.777345
SRR27593212_trimmed_1.fastq.gz	MortensenS_xxxx__WK066-2-G-48h-05I1_S125__bin.1.fa	0.1379	0.3532	96.51	0.061	95.23-97.90	0.061	0.04-0.10	1	1.038	506/25617	88.11	38	WK066-2-G-48h-05I1_S125_k141_135
SRR27593212_trimmed_1.fastq.gz	FontanaF_2023__SRR20746951__bin.4.fa	0.1348	0.1609	97.52	0.060	96.05-99.60	0.060	0.03-0.09	1	1.147	333/12064	89.07	13	NODE_1_length_333540_cov_36.9994_ID_1661
SRR27593212_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.21.fa	0.1260	0.0992	95.73	0.056	93.50-96.03	0.056	0.05-0.12	1	1.097	113/7955	87.18	29	SRS6115052_k141_129
SRR27593212_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_251__bin.10.fa	0.0589	0.0991	97.95	0.026	95.29-98.48	0.026	0.02-0.06	1	1.013	232/17028	87.06	12	NODE_4_length_126762_cov_10.0000_ID_36536
