accession_name	food_name	main_ingredient	ingredient_group	genome_accession	species	Sequence_abundance	Adjusted_ANI	Eff_cov	completeness	contamination	contigs	taxonomy
ERR11865303	kefir	milk goat	Dairy	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897	Lactococcus cremoris	67.2502	98.38	135	100	0.19	233	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR11865303	kefir	milk goat	Dairy	MAG_S8	Lactobacillus kefiranofaciens	14.0938	99.36	35	99.03	0	106	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865303	kefir	milk goat	Dairy	FontanaF_2023__SRR20746979__bin.3	Lactobacillus helveticus	10.3675	98.41	29	99.85	0.07	165	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865303	kefir	milk goat	Dairy	GCF_009913915.1_ASM991391v1_genomic	Leuconostoc mesenteroides	1.7352	98.7	4.005	100	0	3	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
ERR11865303	kefir	milk goat	Dairy	SRR10454491C1008_acetobacter_assembly	Acetobacter spp.	0.9709	97.97	1.515	100	0	9	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR11865303	kefir	milk goat	Dairy	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	3.5652	99.85	1.432	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
ERR11865303	kefir	milk goat	Dairy	SalgadoTS_2021__SRR13801804__bin.3	Lentilactobacillus kefiri	0.6457	99.77	1.386	99.82	0.09	55	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus
ERR11865303	kefir	milk goat	Dairy	MAG_15	Acetobacter fabarum	0.7277	99.99	1.314	100	0.25	21	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR11865303	kefir	milk goat	Dairy	MAG_501	Lactococcus lactis	0.3059	99.24	0.635	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR11865303	kefir	milk goat	Dairy	GCF_002276885.1_ASM227688v1_genomic	Lentilactobacillus parakefiri	0.3034	99.83	0.578	98.94	0.64	116	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus
ERR11865303	kefir	milk goat	Dairy	FontanaF_2023__SRR20746866__bin.6	Lactococcus A raffinolactis	0.0346	98.49	0.081	100	0.15	91	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus_A
ERR11865366	kefir	milk goat	Dairy	MAG_501	Lactococcus lactis	44.5132	99.64	117	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.5	Streptococcus faecavium	9.4626	100	39	91.8227216	1.421610084	111	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
ERR11865366	kefir	milk goat	Dairy	MotaGutierrezJ_2021__SRR11602156__bin.13	Lactobacillus amylovorus	8.4761	98.7	36	74.54	0.81	101	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865366	kefir	milk goat	Dairy	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897	Lactococcus cremoris	11.4128	98.56	29	100	0.19	233	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.34	Megasphaera elsdenii	6.0329	100	19	88.00898204	4.505988024	382	Bacillota;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera
ERR11865366	kefir	milk goat	Dairy	LeechJ_xxxx__AF78__bin.4	Limosilactobacillus reuteri	5.5003	97.53	18	98.91304348	0.543478261	134	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.33	Clostridium sp000435835	3.2261	99.99	7.349	92.18189964	3.790322581	470	Bacillota;Clostridia;Clostridiales;Clostridiaceae;Clostridium
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.4	Prevotella sp000434975	1.8357	99.99	5.785	67.24137931	0	365	Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.19	Butyricicoccus A intestinisimiae	1.9758	99.99	5.753	96.30872483	1.677852349	293	Bacillota;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus_A
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.11	Prevotella faecis	2.4245	99.99	5.428	95.00750751	3.406531532	368	Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.16	Alloprevotella sp004552155	0.9344	99.98	3.973	65.13217679	2.839735646	496	Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.25	Dialister sp000434475	0.8256	99.98	3.923	67.2245149	0.632911392	419	Bacillota;Negativicutes;Veillonellales;Dialisteraceae;Dialister
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.24	Sodaliphilus sp004557565	1.0152	99.98	3.877	62.10190697	0.691823899	508	Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__H3_S87__bin.2	Anaerovibrio sp900548165	0.7474	99.98	3.738	68.9046542	1.371308017	401	Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Anaerovibrio
ERR11865366	kefir	milk goat	Dairy	LeechJ_2020__ERS3967711__bin.14	Lactobacillus sp910589675	0.5021	99.16	1.784	80.88235714	0.239940938	239	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865366	kefir	milk goat	Dairy	GCF_006740305.1_ASM674030v1_genomic	Lactobacillus delbrueckii	0.4028	96.53	1.268	99.03	0	1	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
ERR11865366	kefir	milk goat	Dairy	LeechJ_2020__ERS3967703__bin.6	Limosilactobacillus mucosae	0.1227	97.87	0.405	98.02018634	1.086956522	83	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
ERR11865366	kefir	milk goat	Dairy	LeechJ_xxxx__AF41__bin.3	Limosilactobacillus merdavium	0.0538	97.65	0.337	73.83540373	0	57	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus
ERR11865366	kefir	milk goat	Dairy	WalshL_xxxx__D9__bin.6	Pseudomonas E helleri	0.3009	97.52	0.333	96.10805861	0.360750361	327	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas_E
ERR11865366	kefir	milk goat	Dairy	LeechJ_2020__ERS3967688__bin.2	Escherichia coli	0.1407	98.52	0.191	99.37169312	0.037202381	102	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia
ERR11865366	kefir	milk goat	Dairy	PatroJN_2016__SRS1044731__bin.7	Ligilactobacillus salivarius	0.029	96.27	0.109	94.37172775	0	49	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus
