Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757807_trimmed_1.fastq.gz	LandisEA_2021__SRS5653399__bin.4.fa	55.2914	33.2842	99.52	152.000	NA-NA	HIGH	NA-NA	152	154.545	4615/5362	99.52	6	SRS5653399_k141_290
ERR4757807_trimmed_1.fastq.gz	LeechJ_2020__ERS3967692__bin.4.fa	23.2806	29.7151	100.00	64.000	NA-NA	HIGH	NA-NA	64	65.596	11501/11501	100.00	0	ERS3967692_k141_830
ERR4757807_trimmed_1.fastq.gz	MortensenS_xxxx__WK067-1-L-48h-05C1_S71__bin.5.fa	9.8215	13.4059	97.00	27.000	NA-NA	HIGH	NA-NA	27	27.245	4831/12413	97.00	0	WK067-1-L-48h-05C1_S71_k141_209
ERR4757807_trimmed_1.fastq.gz	GCF_003946045.1_ASM394604v1_genomic.fa	2.7620	4.1355	99.73	7.593	NA-NA	HIGH	NA-NA	7	7.593	12307/13401	99.73	33	GCF_003946045.1_ASM394604v1_genomic_NZ_RHNW01000001.1 Levilactobacillus mulengensis strain 112-3 contig1, whole genome shotgun sequence
ERR4757807_trimmed_1.fastq.gz	GCF_001438845.1_ASM143884v1_genomic.fa	2.7246	3.9204	98.19	7.490	NA-NA	HIGH	NA-NA	8	7.490	7280/12832	98.19	251	GCF_001438845.1_ASM143884v1_genomic_NZ_JQCL01000005.1 Lactiplantibacillus xiangfangensis strain LMG 26013 NODE_10, whole genome shotgun sequence
ERR4757807_trimmed_1.fastq.gz	LeechJ_2020__ERS3967692__bin.3.fa	1.8877	2.4279	99.99	5.190	NA-NA	HIGH	NA-NA	5	5.190	11492/11531	99.99	0	ERS3967692_k141_68
ERR4757807_trimmed_1.fastq.gz	LeechJ_2020__ERS3967694__bin.5.fa	1.4321	8.0802	99.85	3.937	NA-NA	HIGH	NA-NA	4	3.937	47890/50145	99.85	0	ERS3967694_k141_63
ERR4757807_trimmed_1.fastq.gz	LeechJ_2020__ERS3967722__bin.12.fa	0.5855	0.3107	97.78	1.610	97.60-97.93	1.610	1.44-1.76	2	2.210	1965/4924	97.08	77	ERS3967722_k141_2919
ERR4757807_trimmed_1.fastq.gz	YouL_2022__SRR13308520__bin.4.fa	0.5437	0.5046	99.24	1.495	99.13-99.31	1.495	1.43-1.58	2	2.145	5041/8244	98.43	11	NODE_37_length_133389_cov_15.7682_ID_27250
ERR4757807_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_270__bin.3.fa	0.4794	0.4120	99.08	1.318	98.98-99.17	1.318	1.24-1.38	2	1.850	4274/7774	98.09	0	NODE_24_length_69116_cov_15.0000_ID_16044
ERR4757807_trimmed_1.fastq.gz	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1.fa	0.3791	1.9673	99.00	1.042	98.93-99.05	1.042	1.01-1.07	1	1.705	21224/44775	97.62	1	WK065-1-L-08h-05B1_S62_k141_23
ERR4757807_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_245__bin.2.fa	0.2065	0.1511	98.32	0.568	98.03-98.56	0.568	0.51-0.62	1	1.312	1678/6553	95.70	1	NODE_1_length_160535_cov_17.2789_ID_55527
ERR4757807_trimmed_1.fastq.gz	DuR_2020__DRS139333__bin.13.fa	0.1621	0.9586	98.53	0.446	98.42-98.64	0.446	0.42-0.46	1	1.246	11593/51035	95.33	12	DRS139333_k141_32
ERR4757807_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	0.1360	0.2036	99.24	0.374	99.06-99.48	0.374	0.34-0.40	1	1.286	3438/13589	95.66	68	NODE_1_length_274429_cov_22.9992_ID_7781
ERR4757807_trimmed_1.fastq.gz	LeechJ_xxxx__AF89__bin.7.fa	0.0810	0.1565	95.67	0.223	95.05-96.21	0.223	0.18-0.27	1	1.126	867/17149	90.82	272	AF89_k141_40
ERR4757807_trimmed_1.fastq.gz	FontanaF_2023__SRR20746854__bin.2.fa	0.0712	0.1531	96.56	0.196	96.05-97.07	0.196	0.16-0.23	1	1.127	1162/19352	91.33	0	NODE_7_length_112150_cov_14.2384_ID_46122
ERR4757807_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	0.0553	0.0763	98.27	0.152	97.64-98.82	0.152	0.13-0.18	1	1.118	1007/12230	92.26	16	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence
ERR4757807_trimmed_1.fastq.gz	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897.fa	0.0544	0.0620	96.64	0.150	95.74-97.41	0.150	0.11-0.20	1	1.153	491/10183	90.68	81	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897_NZ_LISZ01000065.1 Lactococcus lactis subsp. cremoris strain LMG6897 contig_0, whole genome shotgun sequence
ERR4757807_trimmed_1.fastq.gz	MAG_501.fa	0.0232	0.0255	98.35	0.064	96.55-100.49	0.064	0.03-0.11	1	1.042	358/9710	89.90	4	MAG_501_0
ERR4757807_trimmed_1.fastq.gz	YouL_2022__SRR13308526__bin.24.fa	0.0225	0.0494	97.26	0.062	95.79-98.73	0.062	0.04-0.10	1	1.030	501/19793	88.82	329	NODE_37_length_141872_cov_18.1171_ID_20191
