Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803192__bin.21.fa	25.0238	26.5280	99.92	255.000	NA-NA	HIGH	NA-NA	255	221.887	7547/7746	99.92	104	SRS5803192_k141_856
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803193__bin.3.fa	22.9631	23.0338	99.94	234.000	NA-NA	HIGH	NA-NA	234	235.337	7203/7342	99.94	137	SRS5803193_k141_761
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803193__bin.1.fa	14.1311	12.5648	99.60	144.000	NA-NA	HIGH	NA-NA	144	131.276	5728/6485	99.60	536	SRS5803193_k141_9
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803192__bin.11.fa	13.7386	9.5865	99.99	140.000	NA-NA	HIGH	NA-NA	140	139.178	5080/5097	99.99	17	SRS5803192_k141_577
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803192__bin.16.fa	7.9487	13.6301	99.64	81.000	NA-NA	HIGH	NA-NA	81	73.470	11064/12361	99.64	317	SRS5803192_k141_286
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803193__bin.14.fa	4.0234	3.0876	99.98	41.000	NA-NA	HIGH	NA-NA	41	38.758	5622/5654	99.98	8	SRS5803193_k141_156
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803194__bin.35.fa	3.2384	1.4589	100.00	33.000	NA-NA	HIGH	NA-NA	33	37.896	3314/3314	100.00	0	SRS5803194_k141_946
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803194__bin.24.fa	2.7477	3.5959	100.00	28.000	NA-NA	HIGH	NA-NA	28	27.119	9620/9620	100.00	0	SRS5803194_k141_1522
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803194__bin.38.fa	1.0430	1.1296	100.00	10.628	NA-NA	HIGH	NA-NA	10	10.628	7957/7959	100.00	0	SRS5803194_k141_1107
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803194__bin.11.fa	0.8627	0.7992	100.00	8.791	NA-NA	HIGH	NA-NA	8	8.791	6750/6756	100.00	3	SRS5803194_k141_1484
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803195__bin.4.fa	0.7108	0.6524	99.86	7.243	NA-NA	HIGH	NA-NA	7	7.243	6362/6653	99.86	25	SRS5803195_k141_669
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803193__bin.13.fa	0.6738	0.4141	99.11	6.866	NA-NA	HIGH	NA-NA	8	6.866	3332/4401	99.11	813	SRS5803193_k141_171
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803195__bin.23.fa	0.6077	0.8775	99.53	6.192	NA-NA	HIGH	NA-NA	6	6.192	9030/10450	99.53	560	SRS5803195_k141_544
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803194__bin.17.fa	0.5009	0.4877	99.99	5.104	NA-NA	HIGH	NA-NA	5	5.104	7207/7229	99.99	2	SRS5803194_k141_3708
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__TA012_71775__bin.15.fa	0.4139	0.3647	99.26	4.217	NA-NA	HIGH	NA-NA	4	4.217	5026/6335	99.26	30	TA012_71775_k141_519
SRR10664432_trimmed_1.fastq.gz	DeFilippisF_xxxx__DF_100__bin.12.fa	0.4119	0.5810	98.99	4.197	NA-NA	HIGH	NA-NA	4	4.197	7529/10313	98.99	62	DF_100_k141_92
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803193__bin.7.fa	0.3930	0.5156	99.55	4.005	NA-NA	HIGH	NA-NA	3	4.005	8417/9687	99.55	270	SRS5803193_k141_3697
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803192__bin.31.fa	0.0911	0.1086	99.93	0.929	99.84-100.06	0.929	0.88-0.97	1	1.588	5153/8596	98.36	4	SRS5803192_k141_702
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_3__VB14-22__bin.41.fa	0.0639	0.0796	99.31	0.651	99.14-99.48	0.651	0.60-0.70	1	1.777	3666/9068	97.12	1	VB14-22_k141_513
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803191__bin.31.fa	0.0635	0.0313	99.85	0.647	99.58-100.07	0.647	0.59-0.71	1	1.452	1640/3604	97.49	8	SRS5803191_k141_17531
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803195__bin.53.fa	0.0592	0.0531	99.69	0.603	99.45-99.91	0.603	0.55-0.66	1	1.269	2860/6549	97.36	114	SRS5803195_k141_1479
SRR10664432_trimmed_1.fastq.gz	FontanaF_2023__SRR20746954__bin.5.fa	0.0549	0.0602	97.39	0.560	97.08-97.65	0.560	0.50-0.64	2	2.604	1675/7995	95.08	76	NODE_212_length_15552_cov_6.0000_ID_4197
SRR10664432_trimmed_1.fastq.gz	182.fa	0.0398	0.0837	96.09	0.406	95.83-96.44	0.406	0.35-0.45	1	1.751	1661/14909	93.17	236	NODE_1_length_1843461_cov_24.544282
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__GO004_71775__bin.16.fa	0.0387	0.0252	95.58	0.395	94.98-96.24	0.395	0.29-0.49	1	1.549	395/4827	92.24	17	GO004_71775_k141_266
SRR10664432_trimmed_1.fastq.gz	ZhaoCC_2020__SRS5803195__bin.38.fa	0.0344	0.0517	99.98	0.351	99.77-100.24	0.351	0.32-0.37	1	1.207	3222/10944	96.13	0	SRS5803195_k141_606
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_CSIC_1__P2146_73322__bin.6.fa	0.0298	0.0628	99.23	0.303	98.99-99.48	0.303	0.27-0.33	1	1.182	3183/15450	95.03	11	P2146_73322_k141_247
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__TA012_71775__bin.5.fa	0.0260	0.0456	98.63	0.265	98.27-98.99	0.265	0.23-0.29	1	1.167	1947/12803	94.11	9	TA012_71775_k141_9559
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_2__VB11-26__bin.7.fa	0.0180	0.0347	96.27	0.183	95.68-96.89	0.183	0.14-0.23	1	1.130	730/14170	90.88	11	VB11-26_k141_193
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__SA009_71775__bin.15.fa	0.0127	0.0140	99.27	0.129	98.58-100.01	0.129	0.10-0.16	1	1.132	782/8026	92.76	2	SA009_71775_k141_4043
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__GO004_71775__bin.32.fa	0.0109	0.0103	98.65	0.111	97.54-99.56	0.111	0.08-0.16	1	1.067	479/6940	91.74	2	GO004_71775_k141_892
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__GO003_71775__bin.2.fa	0.0086	0.0134	97.31	0.087	96.14-98.60	0.087	0.06-0.13	1	1.093	419/11511	89.86	380	GO003_71775_k141_3311
SRR10664432_trimmed_1.fastq.gz	MAG_308.fa	0.0060	0.0062	95.33	0.061	92.82-96.08	0.061	0.05-0.14	1	0.990	105/7497	87.14	0	MAG_308_0
SRR10664432_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_3__VB14-22__bin.43.fa	0.0054	0.0051	98.43	0.055	96.24-100.51	0.055	0.03-0.10	1	1.048	227/6993	89.53	0	VB14-22_k141_434
SRR10664432_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859377__bin.9.fa	0.0047	0.0072	96.51	0.048	94.12-97.64	0.048	0.03-0.10	1	1.091	176/11130	87.48	8	NODE_1_length_290673_cov_20.9871_ID_67856
