Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
ERR4757807_trimmed_1.fastq.gz	GCF_018351295.1.fna	64.8187	71.0524	99.47	0.367	99.25-99.69	0.367	0.34-0.39	1	1.310	3950/14497	95.89	0	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
ERR4757807_trimmed_1.fastq.gz	GCF_000014545.1.fna	22.9401	19.4826	96.88	0.130	95.80-98.00	0.130	0.09-0.18	1	1.201	477/10467	90.52	79	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
ERR4757807_trimmed_1.fastq.gz	GCF_000006865.1.fna	12.2413	9.4650	98.36	0.069	96.84-99.75	0.069	0.04-0.11	1	1.059	391/9757	90.14	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
SRR10454481_trimmed_1.fastq.gz	GCF_018351295.1.fna	59.9327	67.9355	99.58	60.000	NA-NA	HIGH	NA-NA	60	56.881	12713/14497	99.58	10	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
SRR10454481_trimmed_1.fastq.gz	GCF_000014465.1.fna	39.9552	31.6038	99.87	40.000	NA-NA	HIGH	NA-NA	40	40.378	9602/10002	99.87	0	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence
SRR10454481_trimmed_1.fastq.gz	GCF_000146045.2.fna	0.1121	0.4607	97.89	0.112	97.52-98.35	0.112	0.10-0.13	1	1.168	2712/49417	91.06	0	NC_001133.9 Saccharomyces cerevisiae S288C chromosome I, complete sequence
SRR10454482_trimmed_1.fastq.gz	GCF_000014465.1.fna	99.4611	97.2623	99.77	24.000	NA-NA	HIGH	NA-NA	24	24.109	9317/10002	99.77	0	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence
SRR10454482_trimmed_1.fastq.gz	GCF_000146045.2.fna	0.5389	2.7377	98.97	0.130	98.63-99.24	0.130	0.12-0.14	1	1.164	4367/49417	92.47	0	NC_001133.9 Saccharomyces cerevisiae S288C chromosome I, complete sequence
SRR10454483_trimmed_1.fastq.gz	GCF_000146045.2.fna	100.0000	100.0000	99.71	1.836	99.68-99.73	1.836	1.80-1.88	2	2.272	38000/49417	99.16	0	NC_001133.9 Saccharomyces cerevisiae S288C chromosome I, complete sequence
SRR10454484_trimmed_1.fastq.gz	GCF_000146045.2.fna	100.0000	100.0000	99.56	0.272	99.41-99.71	0.272	0.26-0.29	1	1.252	10316/49417	95.07	0	NC_001133.9 Saccharomyces cerevisiae S288C chromosome I, complete sequence
SRR10454485_trimmed_1.fastq.gz	GCF_000014465.1.fna	39.1861	15.2538	99.44	3.553	NA-NA	HIGH	NA-NA	3	3.553	8411/10002	99.44	0	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence
SRR10454485_trimmed_1.fastq.gz	GCF_000146045.2.fna	37.3363	75.5002	99.43	3.386	NA-NA	HIGH	NA-NA	3	3.386	41444/49417	99.43	0	NC_001133.9 Saccharomyces cerevisiae S288C chromosome I, complete sequence
SRR10454485_trimmed_1.fastq.gz	GCF_000006865.1.fna	18.2584	7.1844	99.46	1.656	99.39-99.53	1.656	1.59-1.72	2	2.110	6675/9757	98.78	0	NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
SRR10454485_trimmed_1.fastq.gz	GCF_000014545.1.fna	3.3717	1.4572	96.73	0.306	96.29-97.34	0.306	0.25-0.36	1	1.696	984/10467	92.66	555	NC_008527.1 Lactococcus cremoris subsp. cremoris SK11, complete sequence
SRR10454485_trimmed_1.fastq.gz	GCF_000026405.1.fna	1.1244	0.3547	96.68	0.102	95.16-98.74	0.102	0.05-0.16	1	1.047	274/7943	89.71	3	NC_010471.1 Leuconostoc citreum KM20, complete sequence
SRR10454485_trimmed_1.fastq.gz	GCF_000014445.1.fna	0.7231	0.2497	97.49	0.066	95.72-99.67	0.066	0.03-0.11	1	1.073	261/8862	89.25	14	NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete sequence
SRR10454486_trimmed_1.fastq.gz	GCF_018351295.1.fna	63.5850	71.2581	99.33	77.000	NA-NA	HIGH	NA-NA	77	73.671	11770/14497	99.33	10	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
SRR10454486_trimmed_1.fastq.gz	GCF_000014465.1.fna	36.3343	28.4139	99.81	44.000	NA-NA	HIGH	NA-NA	44	45.324	9435/10002	99.81	0	NC_008497.1 Levilactobacillus brevis ATCC 367, complete sequence
SRR10454486_trimmed_1.fastq.gz	GCF_000146045.2.fna	0.0807	0.3280	95.08	0.098	94.36-95.74	0.098	0.07-0.12	1	1.087	963/49417	88.07	0	NC_001133.9 Saccharomyces cerevisiae S288C chromosome I, complete sequence
SRR10454487_trimmed_1.fastq.gz	GCF_018351295.1.fna	86.6012	90.0481	99.52	117.000	NA-NA	HIGH	NA-NA	117	110.578	12470/14497	99.52	12	NZ_CP063750.1 Lactiplantibacillus plantarum strain ATCC 202195 chromosome, complete genome
